id:string:subclasses	l:label
257/302	Subclass
257/303	Subclass
382/276	Subclass
257/E21.653	Subclass
438/234	Subclass
438/373	Subclass
702/39	Subclass
257/E21.197	Subclass
600/226	Subclass
257/E21.637	Subclass
257/E21.639	Subclass
600/227	Subclass
438/306	Subclass
438/309	Subclass
600/229	Subclass
257/E21.375	Subclass
257/E21.696	Subclass
600/230	Subclass
257/E29.044	Subclass
438/365	Subclass
600/231	Subclass
438/370	Subclass
600/232	Subclass
257/E21.325	Subclass
600/233	Subclass
514/25218	Subclass
600/234	Subclass
257/E21.346	Subclass
257/E21.355	Subclass
257/E29.012	Subclass
326/68	Subclass
257/E29.014	Subclass
257/E31.063	Subclass
257/E21.439	Subclass
438/307	Subclass
438/586	Subclass
134/56D	Subclass
438/595	Subclass
438/300	Subclass
257/E21.43	Subclass
257/E29.267	Subclass
438/301	Subclass
29/836	Subclass
29/739	Subclass
257/E21.426	Subclass
29/740	Subclass
257/E29.055	Subclass
29/759	Subclass
327/112	Subclass
438/283	Subclass
257/E27.062	Subclass
29/832	Subclass
29/833	Subclass
438/268	Subclass
382/151	Subclass
257/E21.625	Subclass
257/E21.632	Subclass
438/287	Subclass
438/296	Subclass
438/270	Subclass
257/330	Subclass
257/E29.066	Subclass
438/271	Subclass
438/272	Subclass
438/184	Subclass
204/19224	Subclass
438/524	Subclass
438/525	Subclass
438/527	Subclass
427/62	Subclass
257/332	Subclass
244/146	Subclass
257/371	Subclass
D12/181	Subclass
257/E21.643	Subclass
438/259	Subclass
257/220	Subclass
134/953	Subclass
264/537	Subclass
257/E21.682	Subclass
257/E21.703	Subclass
134/57D	Subclass
134/981	Subclass
257/E27.112	Subclass
210/603	Subclass
257/E29.302	Subclass
134/961	Subclass
134/58D	Subclass
257/E29.259	Subclass
438/138	Subclass
D14/4805	Subclass
438/212	Subclass
438/273	Subclass
362/264	Subclass
438/263	Subclass
257/E21.422	Subclass
257/E21.684	Subclass
257/E27.081	Subclass
365/185.01	Subclass
D9/544	Subclass
438/261	Subclass
438/591	Subclass
349/117	Subclass
426/106	Subclass
514/554	Subclass
347/68	Subclass
711/173	Subclass
296/1801	Subclass
438/227	Subclass
438/382	Subclass
257/E21.689	Subclass
347/71	Subclass
257/E21.691	Subclass
84/604	Subclass
257/E21.292	Subclass
347/72	Subclass
244/142	Subclass
257/E21.648	Subclass
257/E21.656	Subclass
244/147	Subclass
347/50	Subclass
257/E29.343	Subclass
296/1805	Subclass
711/163	Subclass
714/763	Subclass
426/113	Subclass
257/E27.087	Subclass
426/118	Subclass
438/246	Subclass
210/608	Subclass
257/E21.232	Subclass
426/122	Subclass
257/E21.234	Subclass
210/188	Subclass
257/E21.235	Subclass
426/123	Subclass
438/249	Subclass
84/602	Subclass
210/252	Subclass
349/118	Subclass
84/609	Subclass
349/75	Subclass
359/296	Subclass
438/289	Subclass
438/240	Subclass
257/295	Subclass
257/E21.008	Subclass
257/E21.01	Subclass
257/E21.011	Subclass
257/E21.274	Subclass
257/E21.302	Subclass
438/152	Subclass
